Fecha;Cartera;Moneda_retorno;Rentabilidad_1D
01-01-19;BENCHMARK;CLP;0,000%
01-01-19;FONDO;CLP;0,000%
02-01-19;BENCHMARK;CLP;0,391%
02-01-19;FONDO;CLP;0,203%
03-01-19;FONDO;CLP;-0,091%
03-01-19;BENCHMARK;CLP;0,074%
04-01-19;FONDO;CLP;1,028%
04-01-19;BENCHMARK;CLP;1,171%
05-01-19;BENCHMARK;CLP;0,000%
05-01-19;FONDO;CLP;0,001%
06-01-19;BENCHMARK;CLP;0,000%
06-01-19;FONDO;CLP;0,000%
07-01-19;FONDO;CLP;0,312%
07-01-19;BENCHMARK;CLP;0,017%
08-01-19;FONDO;CLP;0,291%
08-01-19;BENCHMARK;CLP;0,659%
09-01-19;FONDO;CLP;1,036%
09-01-19;BENCHMARK;CLP;0,770%
10-01-19;BENCHMARK;CLP;0,635%
10-01-19;FONDO;CLP;0,536%
11-01-19;FONDO;CLP;1,043%
11-01-19;BENCHMARK;CLP;1,037%
12-01-19;FONDO;CLP;0,000%
12-01-19;BENCHMARK;CLP;0,000%
13-01-19;FONDO;CLP;0,000%
13-01-19;BENCHMARK;CLP;0,000%
14-01-19;FONDO;CLP;-0,188%
14-01-19;BENCHMARK;CLP;0,024%
15-01-19;FONDO;CLP;0,556%
15-01-19;BENCHMARK;CLP;0,369%
16-01-19;FONDO;CLP;0,369%
16-01-19;BENCHMARK;CLP;0,840%
17-01-19;FONDO;CLP;0,396%
17-01-19;BENCHMARK;CLP;0,311%
18-01-19;FONDO;CLP;0,689%
18-01-19;BENCHMARK;CLP;0,793%
19-01-19;FONDO;CLP;0,000%
19-01-19;BENCHMARK;CLP;0,000%
20-01-19;FONDO;CLP;0,000%
20-01-19;BENCHMARK;CLP;0,000%
21-01-19;FONDO;CLP;-0,350%
21-01-19;BENCHMARK;CLP;-0,413%
22-01-19;BENCHMARK;CLP;-1,013%
22-01-19;FONDO;CLP;-1,163%
23-01-19;BENCHMARK;CLP;0,030%
23-01-19;FONDO;CLP;0,062%
24-01-19;FONDO;CLP;0,172%
24-01-19;BENCHMARK;CLP;0,224%
25-01-19;BENCHMARK;CLP;0,496%
25-01-19;FONDO;CLP;0,541%
26-01-19;BENCHMARK;CLP;0,000%
26-01-19;FONDO;CLP;0,000%
27-01-19;FONDO;CLP;0,000%
27-01-19;BENCHMARK;CLP;0,000%
28-01-19;FONDO;CLP;-0,474%
28-01-19;BENCHMARK;CLP;0,077%
29-01-19;FONDO;CLP;0,180%
29-01-19;BENCHMARK;CLP;-0,554%
30-01-19;FONDO;CLP;-0,267%
30-01-19;BENCHMARK;CLP;-0,506%
31-01-19;FONDO;CLP;0,384%
31-01-19;BENCHMARK;CLP;0,320%
01-02-19;FONDO;CLP;0,154%
01-02-19;BENCHMARK;CLP;0,876%
02-02-19;BENCHMARK;CLP;0,000%
02-02-19;FONDO;CLP;0,000%
03-02-19;FONDO;CLP;0,000%
03-02-19;BENCHMARK;CLP;0,000%
04-02-19;BENCHMARK;CLP;0,366%
04-02-19;FONDO;CLP;0,397%
05-02-19;FONDO;CLP;0,077%
05-02-19;BENCHMARK;CLP;-0,117%
06-02-19;FONDO;CLP;-0,350%
06-02-19;BENCHMARK;CLP;-0,732%
07-02-19;BENCHMARK;CLP;0,008%
07-02-19;FONDO;CLP;-0,399%
08-02-19;FONDO;CLP;-0,681%
08-02-19;BENCHMARK;CLP;-0,882%
09-02-19;BENCHMARK;CLP;0,000%
09-02-19;FONDO;CLP;0,000%
10-02-19;BENCHMARK;CLP;0,000%
10-02-19;FONDO;CLP;0,000%
11-02-19;FONDO;CLP;-0,128%
11-02-19;BENCHMARK;CLP;-0,075%
12-02-19;BENCHMARK;CLP;0,182%
12-02-19;FONDO;CLP;-0,230%
13-02-19;FONDO;CLP;0,232%
13-02-19;BENCHMARK;CLP;0,032%
14-02-19;FONDO;CLP;-0,297%
14-02-19;BENCHMARK;CLP;-0,190%
15-02-19;FONDO;CLP;0,043%
15-02-19;BENCHMARK;CLP;0,436%
16-02-19;BENCHMARK;CLP;0,000%
16-02-19;FONDO;CLP;0,000%
17-02-19;BENCHMARK;CLP;0,000%
