Fecha;Cartera;Instrumento;Peso
01-01-19;FONDO;ANDINA-B;1,84%
01-01-19;FONDO;ANTARCHILE;1,95%
01-01-19;FONDO;BCI;7,26%
01-01-19;FONDO;BSANTANDER;7,01%
01-01-19;FONDO;Caja CLP;0,29%
01-01-19;FONDO;CAP;0,13%
01-01-19;FONDO;CCU;1,18%
01-01-19;FONDO;CENCOSUD;2,55%
01-01-19;FONDO;CFILVSCC-L;8,08%
01-01-19;FONDO;CHILE;0,26%
01-01-19;FONDO;CMPC;7,03%
01-01-19;FONDO;COLBUN;0,59%
01-01-19;FONDO;COPEC;5,49%
01-01-19;FONDO;ECL;3,06%
01-01-19;FONDO;ENELAM;9,34%
01-01-19;FONDO;ENELCHILE;4,43%
01-01-19;FONDO;ENTEL;0,90%
01-01-19;FONDO;FALABELLA;5,13%
01-01-19;FONDO;HITES;0,37%
01-01-19;FONDO;IAM;2,41%
01-01-19;FONDO;ILC;2,54%
01-01-19;FONDO;ITAUCORP;5,43%
01-01-19;FONDO;LTM;6,15%
01-01-19;FONDO;MALLPLAZA;1,13%
01-01-19;FONDO;NORTEGRAN;0,66%
01-01-19;FONDO;PARAUCO;0,67%
01-01-19;FONDO;RIPLEY;1,04%
01-01-19;FONDO;SALFACORP;0,93%
01-01-19;FONDO;SK;0,43%
01-01-19;FONDO;SM-CHILE B;3,28%
01-01-19;FONDO;SMU;1,02%
01-01-19;FONDO;SONDA;0,88%
01-01-19;FONDO;SQM-B;6,54%
01-01-19;BENCHMARK;AESGENER;1,29%
01-01-19;BENCHMARK;AGUAS-A;2,51%
01-01-19;BENCHMARK;ANDINA-B;1,24%
01-01-19;BENCHMARK;BCI;5,45%
01-01-19;BENCHMARK;BSANTANDER;7,73%
01-01-19;BENCHMARK;CAP;1,07%
01-01-19;BENCHMARK;CCU;3,17%
01-01-19;BENCHMARK;CENCOSUD;4,07%
01-01-19;BENCHMARK;CHILE;7,04%
01-01-19;BENCHMARK;CMPC;5,97%
01-01-19;BENCHMARK;COLBUN;2,35%
01-01-19;BENCHMARK;CONCHATORO;1,49%
01-01-19;BENCHMARK;COPEC;7,29%
01-01-19;BENCHMARK;ECL;1,51%
01-01-19;BENCHMARK;ENELAM;8,13%
01-01-19;BENCHMARK;ENELCHILE;4,41%
01-01-19;BENCHMARK;ENELGXCH;0,49%
01-01-19;BENCHMARK;ENTEL;1,76%
01-01-19;BENCHMARK;FALABELLA;7,75%
01-01-19;BENCHMARK;ILC;0,89%
01-01-19;BENCHMARK;ITAUCORP;2,64%
01-01-19;BENCHMARK;LTM;4,86%
01-01-19;BENCHMARK;PARAUCO;2,48%
01-01-19;BENCHMARK;RIPLEY;1,34%
01-01-19;BENCHMARK;SALFACORP;0,73%
01-01-19;BENCHMARK;SECURITY;0,72%
01-01-19;BENCHMARK;SM-CHILE B;3,52%
01-01-19;BENCHMARK;SONDA;1,34%
01-01-19;BENCHMARK;SQM-B;6,09%
01-01-19;BENCHMARK;VAPORES;0,66%
02-01-19;BENCHMARK;AESGENER;1,27%
02-01-19;BENCHMARK;AGUAS-A;2,51%
02-01-19;BENCHMARK;ANDINA-B;1,23%
02-01-19;BENCHMARK;BCI;5,41%
02-01-19;BENCHMARK;BSANTANDER;7,75%
02-01-19;BENCHMARK;CAP;1,06%
02-01-19;BENCHMARK;CCU;3,10%
02-01-19;BENCHMARK;CENCOSUD;4,07%
02-01-19;BENCHMARK;CHILE;7,06%
02-01-19;BENCHMARK;CMPC;5,91%
02-01-19;BENCHMARK;COLBUN;2,34%
02-01-19;BENCHMARK;CONCHATORO;1,48%
02-01-19;BENCHMARK;COPEC;7,33%
02-01-19;BENCHMARK;ECL;1,51%
02-01-19;BENCHMARK;ENELAM;8,26%
02-01-19;BENCHMARK;ENELCHILE;4,36%
02-01-19;BENCHMARK;ENELGXCH;0,49%
02-01-19;BENCHMARK;ENTEL;1,82%
02-01-19;BENCHMARK;FALABELLA;7,67%
02-01-19;BENCHMARK;ILC;0,89%
02-01-19;BENCHMARK;ITAUCORP;2,61%
02-01-19;BENCHMARK;LTM;5,01%
02-01-19;BENCHMARK;PARAUCO;2,53%
02-01-19;BENCHMARK;RIPLEY;1,31%
02-01-19;BENCHMARK;SALFACORP;0,72%
02-01-19;BENCHMARK;SECURITY;0,72%
02-01-19;BENCHMARK;SM-CHILE B;3,53%
02-01-19;BENCHMARK;SONDA;1,37%
02-01-19;BENCHMARK;SQM-B;6,00%
02-01-19;BENCHMARK;VAPORES;0,67%
02-01-19;FONDO;ANDINA-B;1,83%
02-01-19;FONDO;ANTARCHILE;1,95%
02-01-19;FONDO;BCI;7,24%
02-01-19;FONDO;BSANTANDER;7,06%
02-01-19;FONDO;Caja CLP;0,36%
02-01-19;FONDO;CAP;0,13%
02-01-19;FONDO;CCU;1,16%
02-01-19;FONDO;CENCOSUD;2,54%
02-01-19;FONDO;CFILVSCC-L;8,04%
02-01-19;FONDO;CHILE;0,26%
02-01-19;FONDO;CMPC;6,96%
02-01-19;FONDO;COLBUN;0,59%
02-01-19;FONDO;COPEC;5,51%
02-01-19;FONDO;ECL;3,06%
02-01-19;FONDO;ENELAM;9,47%
02-01-19;FONDO;ENELCHILE;4,42%
02-01-19;FONDO;ENTEL;0,92%
02-01-19;FONDO;FALABELLA;5,07%
02-01-19;FONDO;HITES;0,37%
02-01-19;FONDO;IAM;2,40%
02-01-19;FONDO;ILC;2,53%
02-01-19;FONDO;ITAUCORP;5,37%
02-01-19;FONDO;LTM;6,36%
